customer_id,age,annual_income,employment_length,state,credit_score
CUST000184,43,70138.0,10+ years,WA,697
CUST000185,35,30335.0,10+ years,TN,625
CUST000186,46,46345.0,10+ years,FL,699
CUST000187,43,71781.0,9 years,TX,627
CUST000188,37,61674.0,6 years,IN,524
CUST000189,27,56020.0,< 1 year,Georgia,599
CUST000190,21,12000.0,1 years,NY,642
CUST000191,32,41211.0,,VA,999
CUST000192,48,58754.0,10+ years,PA,616
CUST000193,40,39374.0,10+ years,WA,739
CUST000194,23,"$32,267",< 1 year,oh,713
CUST000195,40,42978.0,10+ years,NJ,621
CUST000196,42,52630.0,10+ years,TX,618
CUST000197,27,83228.0,8 years,NY,828
CUST000198,39,51357.0,7 years,GA,771
CUST000199,38,50787.0,9 years,,657
CUST000200,24,40918.0,,CA,713
CUST000201,42,"$52,910",10+ years,VA,724
CUST000202,44,36130.0,10+ years,PA,690
CUST000203,50,"$35,099",10+ years,wa,554
CUST000204,50,59361.0,,NY,735
CUST000205,21,20963.0,< 1 year,,700
CUST000206,26,12000.0,4 years,GA,728
CUST000207,44,77041.0,10+ years,FL,729
CUST000208,44,"$54,205",5 years,AZ,746
CUST000209,44,74192.0,10+ years,WA,752
CUST000210,75,56322.0,10+ years,TX,684
CUST000211,44,74477.0,4 years,ga,736
CUST000212,51,53722.0,10+ years,WA,602
CUST000213,49,77487.0,10+ years,CA,640
CUST000214,45,"$57,023",10+ years,TX,611
CUST000215,34,47399.0,5 years,OH,625
CUST000216,47,63018.0,10+ years,MO,612
CUST000217,28,27023.0,3 years,TN,705
CUST000218,35,32102.0,6 years,AZ,709
CUST000219,32,32783.0,5 years,NJ,729
CUST000220,38,23321.0,10+ years,FL,657
CUST000221,65,70589.0,10+ years,az,644
CUST000222,21,14548.0,< 1 year,NC,582
CUST000223,46,32561.0,10+ years,NJ,567
CUST000224,21,31880.0,< 1 year,IN,642
CUST000225,32,38316.0,6 years,ny,675
CUST000226,51,,9 years,NJ,713
CUST000227,38,55862.0,10+ years,Texas,727
CUST000228,25,26232.0,< 1 year,PA,729
CUST000229,29,20519.0,4 years,NY,631
CUST000230,46,59559.0,10+ years,FL,649
CUST000231,29,"$12,000",< 1 year,GA,651
CUST000232,40,46179.0,5 years,CA,662
CUST000233,38,56878.0,4 years,OH,745
CUST000234,30,51504.0,4 years,TN,636
CUST000235,63,,10+ years,NY,711
CUST000236,45,20179.0,10+ years,FL,710
CUST000237,21,12000.0,4 years,TN,692
CUST000238,40,57371.0,7 years,VA,694
CUST000239,30,30490.0,1 years,PA,721
CUST000240,48,87659.0,10+ years,NJ,758
CUST000241,28,12233.0,6 years,nj,670
CUST000242,36,48135.0,8 years,MD,693
CUST000243,44,77535.0,10+ years,IN,700
CUST000244,48,60497.0,10+ years,VA,718
CUST000245,23,"$12,000",1 years,NC,719
CUST000246,33,"$80,989",9 years,ny,592
CUST000247,32,61909.0,6 years,MD,770
CUST000248,30,32391.0,6 years,GA,591
CUST000249,59,82884.0,10+ years,TN,0
CUST000250,42,"$62,645",10+ years,TN,544
CUST000251,22,35827.0,3 years,PA,597
CUST000252,49,37874.0,10+ years,WA,705
CUST000253,63,80262.0,10+ years,GA,622
CUST000254,50,"$81,711",10+ years,VA,703
CUST000255,21,32568.0,< 1 year,AZ,733
CUST000256,32,44157.0,7 years,OH,681
CUST000257,53,55348.0,10+ years,MA,709
CUST000258,29,"$21,040",4 years,NY,631
CUST000259,43,27812.0,7 years,IN,671
CUST000260,47,67562.0,10+ years,VA,641
CUST000261,26,27687.0,4 years,TN,662
CUST000262,37,24079.0,10+ years,FL,665
CUST000263,21,39646.0,< 1 year,CA,780
CUST000264,25,20996.0,1 years,TN,663
CUST000265,34,27732.0,,MA,678
CUST000266,23,19956.0,< 1 year,AZ,682
CUST000267,57,65304.0,10+ years,VA,727
CUST000268,21,31870.0,< 1 year,CA,666
CUST000269,32,25070.0,5 years,WA,522
CUST000270,39,"$61,756",,Georgia,632
CUST000271,55,73063.0,10+ years,California,613
CUST000272,21,17280.0,< 1 year,PA,663
CUST000273,51,58603.0,10+ years,TN,740
CUST000274,38,39061.0,9 years,MI,690
CUST000275,26,31988.0,2 years,AZ,711
CUST000276,43,74198.0,10+ years,MD,662
CUST000277,40,41306.0,6 years,FL,745
CUST000278,30,38642.0,6 years,ga,689
CUST000279,38,34921.0,10+ years,MI,671
CUST000280,33,47379.0,3 years,FL,707
CUST000281,39,50746.0,9 years,TX,691
CUST000282,45,73744.0,10+ years,FL,744
CUST000283,57,55762.0,10+ years,,608
CUST000284,23,37759.0,< 1 year,IL,597
CUST000285,63,94361.0,10+ years,PA,644
CUST000286,21,18436.0,2 years,IN,601
CUST000287,36,"$41,096",10+ years,MA,786
CUST000288,45,56661.0,10+ years,MD,681
CUST000289,41,45451.0,5 years,IN,635
CUST000290,30,38460.0,< 1 year,OH,742
CUST000291,35,51902.0,5 years,MO,594
CUST000292,32,36490.0,< 1 year,TX,710
CUST000293,30,33973.0,4 years,in,737
CUST000294,48,61400.0,10+ years,WA,0
CUST000295,42,"$44,212",10+ years,NJ,693
CUST000296,29,29354.0,3 years,VA,724
CUST000297,48,43917.0,10+ years,MA,663
CUST000298,41,48368.0,10+ years,TN,640
CUST000299,47,62916.0,,PA,719
CUST000300,45,49763.0,8 years,FL,671
CUST000301,28,21797.0,1 years,CA,682
CUST000302,31,35557.0,6 years,GA,586
CUST000303,46,,9 years,FL,703
CUST000304,45,"$55,720",10+ years,NC,595
CUST000305,37,77643.0,5 years,IL,720
CUST000306,39,36754.0,10+ years,CA,695
CUST000307,53,61145.0,10+ years,WI,667
CUST000308,30,47489.0,4 years,WA,681
CUST000309,44,42180.0,10+ years,PA,811
CUST000310,35,70723.0,,WA,686
CUST000311,35,41869.0,4 years,IL,668
CUST000312,51,69417.0,10+ years,CA,649
CUST000313,47,56485.0,7 years,VA,769
CUST000314,47,71480.0,10+ years,IN,592
CUST000315,53,"$47,457",10+ years,PA,733
CUST000316,38,68978.0,,NJ,647
CUST000317,46,58476.0,10+ years,MO,737
CUST000318,34,"$50,477",7 years,,723
CUST000319,41,37924.0,7 years,OH,693
CUST000320,36,48059.0,7 years,va,766
CUST000321,39,32080.0,10+ years,NY,721
CUST000322,45,71435.0,10+ years,GA,620
CUST000323,28,14053.0,2 years,NC,677
CUST000324,63,77713.0,10+ years,TX,659
CUST000325,25,"$23,974",< 1 year,MO,621
CUST000326,23,12000.0,< 1 year,AZ,677
CUST000327,51,46970.0,9 years,CA,0
CUST000328,47,"$62,944",10+ years,MA,637
CUST000329,45,40352.0,10+ years,Ohio,603
CUST000330,45,43762.0,10+ years,FL,701
CUST000331,37,49800.0,10+ years,VA,633
CUST000332,27,45923.0,1 years,MO,717
CUST000333,38,55312.0,10+ years,TN,624
CUST000334,29,33901.0,8 years,NY,702
CUST000335,49,61865.0,10+ years,MO,690
CUST000336,36,44781.0,10+ years,mi,685
CUST000337,28,17855.0,3 years,VA,686
CUST000338,34,44792.0,10+ years,GA,654
CUST000339,42,34521.0,8 years,az,694
CUST000340,31,46214.0,5 years,TN,758
CUST000341,28,35427.0,3 years,TX,762
CUST000342,40,15337.0,4 years,CA,698
CUST000343,40,"$62,487",6 years,MI,695
CUST000344,31,29170.0,9 years,OH,-1
CUST000345,32,29128.0,3 years,TN,802
CUST000346,40,62139.0,5 years,NC,757
CUST000347,21,22551.0,1 years,az,660
CUST000348,21,33961.0,< 1 year,MD,593
CUST000349,29,24800.0,3 years,MO,714
CUST000350,35,53855.0,8 years,MO,732
CUST000351,41,51958.0,8 years,VA,618
CUST000352,55,71874.0,10+ years,IL,687
CUST000353,48,54722.0,10+ years,IL,549
CUST000354,36,67447.0,8 years,MD,688
CUST000355,37,72257.0,8 years,AZ,659
CUST000356,25,"$12,000",2 years,VA,621
CUST000357,37,58095.0,,TX,597
CUST000358,34,24404.0,4 years,NC,713
CUST000359,41,"$56,645",7 years,GA,678
CUST000360,28,12000.0,3 years,Georgia,680
CUST000361,44,58649.0,10+ years,TN,664
CUST000362,56,54456.0,10+ years,NC,676
CUST000363,36,36118.0,6 years,wa,731
CUST000364,42,43719.0,4 years,VA,642
CUST000365,46,"$43,982",10+ years,MI,714
CUST000366,33,28789.0,10+ years,NC,655
CUST000367,40,41830.0,9 years,VA,703
CUST000368,38,43091.0,6 years,WI,621
CUST000369,39,51447.0,4 years,PA,721
CUST000370,28,61311.0,1 years,MA,633
CUST000371,38,31197.0,8 years,MA,662
CUST000372,43,53301.0,6 years,FL,736
CUST000373,55,77390.0,10+ years,VA,656
CUST000374,49,47967.0,10+ years,TX,681
CUST000375,63,41541.0,10+ years,MO,815
CUST000376,28,12000.0,4 years,VA,720
CUST000377,48,24093.0,10+ years,NY,684
CUST000378,40,70902.0,6 years,WA,707
CUST000379,64,85812.0,10+ years,VA,640
CUST000380,28,44740.0,4 years,oh,707
CUST000381,27,46921.0,1 years,TN,630
CUST000382,30,27168.0,3 years,MA,666
CUST000383,21,59546.0,1 years,MD,670
CUST000384,31,42032.0,5 years,WA,725
CUST000385,28,,2 years,NJ,723
CUST000386,39,63250.0,6 years,OH,683
CUST000387,42,60209.0,10+ years,PA,738
CUST000388,60,91826.0,10+ years,IL,690
CUST000389,49,79507.0,9 years,IN,607
CUST000390,31,31701.0,6 years,CA,690
CUST000391,27,35005.0,5 years,IN,659
CUST000392,43,37762.0,10+ years,MA,689
CUST000393,22,12000.0,< 1 year,VA,667
CUST000394,59,"$83,152",10+ years,ca,752
CUST000395,52,76556.0,,MD,651
CUST000396,32,12000.0,6 years,PA,627
CUST000397,21,14242.0,< 1 year,MD,716
CUST000398,54,65441.0,10+ years,ga,0
CUST000399,36,45271.0,10+ years,va,663
CUST000400,52,92875.0,10+ years,PA,631
CUST000401,21,15596.0,,FL,753
CUST000402,30,"$33,230",3 years,WI,646
CUST000403,38,55148.0,10+ years,New York,0
CUST000404,38,40147.0,,WA,698
CUST000405,32,30625.0,8 years,MI,711
CUST000406,45,44994.0,4 years,AZ,730
CUST000407,25,"$33,295",< 1 year,tx,756
CUST000408,36,"$40,365",4 years,OH,643
CUST000409,39,56837.0,10+ years,CA,660
CUST000410,44,"$57,962",9 years,TX,651
CUST000411,46,12000.0,10+ years,NJ,652
CUST000412,24,,1 years,PA,599
CUST000413,21,,< 1 year,CA,617
CUST000414,53,"$78,100",10+ years,CA,666
CUST000415,41,"$39,225",10+ years,AZ,668
CUST000416,29,40219.0,6 years,VA,582
CUST000417,56,"$75,977",10+ years,IL,655
CUST000418,39,54704.0,10+ years,MD,646
CUST000419,52,53989.0,10+ years,NY,655
CUST000420,38,28179.0,5 years,AZ,567
CUST000421,62,"$54,517",10+ years,MO,732
CUST000422,59,"$115,164",10+ years,fl,636
CUST000423,35,48631.0,1 years,TN,682
CUST000424,49,86209.0,10+ years,GA,634
CUST000425,45,"$41,303",10+ years,WA,684
CUST000426,54,83325.0,10+ years,AZ,549
CUST000427,26,"$23,848",2 years,WI,657
CUST000428,46,54566.0,10+ years,AZ,629
CUST000429,50,55505.0,10+ years,PA,641
CUST000430,21,12000.0,< 1 year,NC,608
CUST000431,23,14436.0,< 1 year,MA,680
CUST000432,21,"$24,413",< 1 year,NY,628
CUST000433,34,31794.0,6 years,TN,692
CUST000434,46,56901.0,9 years,GA,630
CUST000435,56,54433.0,,MD,679
CUST000436,38,56012.0,4 years,WA,739
CUST000437,57,61301.0,10+ years,WA,593
CUST000438,21,49554.0,< 1 year,ny,766
CUST000439,21,24241.0,< 1 year,FL,688
CUST000440,37,42667.0,5 years,MO,574
CUST000441,42,74253.0,3 years,OH,635
CUST000442,37,36771.0,4 years,NY,698
CUST000443,21,18896.0,< 1 year,IL,585
CUST000444,36,32485.0,8 years,AZ,633
CUST000445,22,29267.0,2 years,WA,731
CUST000446,46,43972.0,10+ years,PA,711
CUST000447,42,61850.0,8 years,WI,664
CUST000448,26,30301.0,4 years,AZ,680
CUST000449,31,49583.0,4 years,NY,572
CUST000450,25,40693.0,< 1 year,MD,614
CUST000451,37,36513.0,10+ years,WA,776
CUST000452,49,47545.0,10+ years,in,663
CUST000453,26,26075.0,3 years,MA,727
CUST000454,44,"$52,733",10+ years,AZ,678
CUST000455,31,"$42,010",2 years,NC,675
CUST000456,28,40077.0,3 years,in,797
CUST000457,36,42521.0,6 years,MO,610
CUST000458,25,19582.0,1 years,MD,656
CUST000459,31,28201.0,< 1 year,TN,627
CUST000460,23,35175.0,< 1 year,WA,708
CUST000461,61,63247.0,10+ years,,596
CUST000462,38,53804.0,9 years,NY,727
CUST000463,29,43494.0,3 years,TN,751
CUST000464,40,70809.0,6 years,NY,842
CUST000465,36,35787.0,6 years,WA,663
CUST000466,35,"$36,923",3 years,MI,490
CUST000467,45,19110.0,10+ years,NY,697
CUST000468,47,"$42,054",10+ years,GA,799
CUST000469,31,22658.0,3 years,IN,-1
CUST000470,31,44585.0,3 years,TX,652
CUST000471,34,67711.0,6 years,MA,681
CUST000472,21,33711.0,< 1 year,FL,749
CUST000473,21,39862.0,2 years,,702
CUST000474,54,53930.0,10+ years,IN,699
CUST000475,57,50230.0,10+ years,OH,596
CUST000476,35,38170.0,2 years,TN,696
CUST000477,44,43244.0,10+ years,MD,754
CUST000478,41,36084.0,10+ years,MD,590
CUST000479,74,"$91,874",10+ years,AZ,615
CUST000480,51,43211.0,10+ years,TX,666
CUST000481,36,55397.0,6 years,IN,628
CUST000482,26,25008.0,1 years,VA,763
CUST000483,21,24321.0,1 years,nj,655
CUST000484,40,"$49,297",10+ years,MD,766
CUST000485,28,26399.0,,WI,695
CUST000486,21,43983.0,< 1 year,PA,710
CUST000487,30,12000.0,9 years,OH,586
CUST000488,25,49050.0,2 years,NJ,577
CUST000489,58,64194.0,10+ years,CA,643
CUST000490,48,71211.0,10+ years,GA,746
CUST000491,37,47219.0,9 years,AZ,755
CUST000492,55,78557.0,10+ years,MI,703
CUST000493,38,43624.0,10+ years,PA,697
CUST000494,27,35777.0,2 years,TX,648
CUST000495,56,83469.0,10+ years,CA,721
CUST000496,44,,,MO,557
CUST000497,25,49751.0,2 years,OH,661
CUST000498,35,47083.0,9 years,NC,611
CUST000499,27,21209.0,5 years,IL,727
CUST000500,21,,< 1 year,MO,761
CUST000501,49,71922.0,10+ years,IL,652
CUST000502,60,53203.0,10+ years,va,616
CUST000503,21,36893.0,< 1 year,MO,672
CUST000504,44,,5 years,MI,678
CUST000505,30,16454.0,< 1 year,MA,722
CUST000506,32,41309.0,7 years,NC,641
CUST000507,30,25297.0,6 years,PA,653
CUST000508,27,23626.0,2 years,VA,673
CUST000509,38,36014.0,,PA,770
CUST000510,28,35123.0,3 years,TX,569
CUST000511,41,43151.0,10+ years,AZ,613
CUST000512,37,50064.0,9 years,,758
CUST000513,35,"$56,986",1 years,NY,721
CUST000514,27,40325.0,< 1 year,NJ,751
CUST000515,31,64080.0,8 years,OH,750
CUST000516,47,86970.0,10+ years,TN,659
CUST000517,44,"$48,246",10+ years,MO,655
CUST000518,26,13711.0,1 years,WI,768
CUST000519,39,,10+ years,CA,717
CUST000520,47,57975.0,10+ years,MI,633
CUST000521,21,58387.0,1 years,PA,735
CUST000522,44,46978.0,10+ years,NC,789
CUST000523,30,39969.0,< 1 year,NJ,716
CUST000524,44,42383.0,10+ years,TN,661
CUST000525,28,28200.0,2 years,VA,702
CUST000526,21,12000.0,< 1 year,,814
CUST000527,21,12000.0,1 years,WI,594
CUST000528,38,65814.0,7 years,IN,733
CUST000529,41,"$64,993",7 years,NC,636
CUST000530,27,26656.0,3 years,MA,619
CUST000531,45,69751.0,10+ years,NC,727
CUST000532,21,"$12,000",1 years,NC,737
CUST000533,37,41600.0,7 years,FL,712
CUST000534,23,,3 years,IN,685
CUST000535,30,54791.0,7 years,PA,657
CUST000536,38,48363.0,3 years,OH,723
CUST000537,27,40371.0,2 years,NJ,670
CUST000538,33,32351.0,4 years,VA,671
CUST000539,50,63759.0,,VA,577
CUST000540,31,55965.0,3 years,MA,702
CUST000541,48,33152.0,9 years,NJ,661
CUST000542,24,45641.0,2 years,AZ,605
CUST000543,44,,10+ years,PA,698
CUST000544,55,44711.0,10+ years,MI,622
CUST000545,21,20993.0,< 1 year,NJ,572
CUST000546,28,52751.0,1 years,MD,597
CUST000547,44,45365.0,10+ years,pa,619
CUST000548,35,46290.0,< 1 year,IL,697
CUST000549,42,26002.0,9 years,NY,589
CUST000550,30,"$12,000",8 years,tn,653
CUST000551,39,30449.0,10+ years,NC,704
CUST000552,36,"$58,192",7 years,TN,687
CUST000553,52,61438.0,10+ years,IN,612
CUST000554,41,65495.0,6 years,GA,717
CUST000555,42,67572.0,4 years,Texas,692
CUST000556,33,28028.0,6 years,NC,670
CUST000557,32,61705.0,1 years,OH,726
CUST000558,32,30034.0,3 years,NY,614
CUST000559,42,65205.0,8 years,IL,648
CUST000560,32,52592.0,< 1 year,GA,725
CUST000561,41,49976.0,7 years,NY,656
CUST000562,62,75200.0,10+ years,AZ,600
CUST000563,48,"$62,207",8 years,WA,999
CUST000564,34,42332.0,7 years,MA,723
CUST000565,52,56348.0,,MA,676
CUST000566,33,"$32,261",,MO,819
CUST000567,21,19268.0,< 1 year,MA,631
CUST000568,25,48073.0,4 years,CA,553
CUST000569,21,"$12,000",1 years,WI,645
CUST000570,33,31947.0,6 years,MA,616
CUST000571,38,40511.0,7 years,VA,656
CUST000572,58,65979.0,10+ years,VA,604
CUST000573,41,53452.0,7 years,mi,665
CUST000574,35,21576.0,5 years,WA,702
CUST000575,47,71580.0,10+ years,TX,677
CUST000576,21,38304.0,< 1 year,MD,702
CUST000577,40,"$57,915",10+ years,CA,722
CUST000578,47,53087.0,10+ years,Georgia,612
CUST000579,21,13925.0,1 years,WA,707
CUST000580,51,56122.0,10+ years,ca,609
CUST000581,42,"$51,113",10+ years,OH,697
CUST000582,33,49393.0,1 years,TN,653
CUST000583,45,52580.0,10+ years,NC,654
CUST000584,65,83207.0,10+ years,IN,775
CUST000585,40,41291.0,4 years,MA,627
CUST000586,40,52095.0,6 years,fl,705
CUST000587,32,34462.0,7 years,GA,708
CUST000588,27,36219.0,5 years,NC,668
CUST000589,47,29696.0,10+ years,Florida,999
CUST000590,27,39507.0,< 1 year,TN,585
CUST000591,38,53500.0,6 years,NY,655
CUST000592,32,46134.0,,MA,552
CUST000593,43,36588.0,10+ years,,850
CUST000594,42,39548.0,10+ years,NC,665
CUST000595,50,46771.0,10+ years,MD,601
CUST000596,31,41950.0,4 years,IL,650
CUST000597,34,50473.0,3 years,OH,741
CUST000598,26,20552.0,< 1 year,NC,724
CUST000599,32,57934.0,< 1 year,MI,671
CUST000600,42,69736.0,,IN,618
CUST000601,47,58269.0,10+ years,AZ,705
CUST000602,26,36563.0,2 years,WA,751
CUST000603,48,"$32,207",10+ years,MD,845
CUST000604,54,56664.0,10+ years,VA,678
CUST000605,42,"$31,415",9 years,NC,704
CUST000606,60,58150.0,10+ years,TX,699
CUST000607,28,41118.0,< 1 year,WA,692
CUST000608,23,38741.0,< 1 year,NY,736
CUST000609,21,36968.0,2 years,MO,725
CUST000610,55,"$69,425",10+ years,WA,674
CUST000611,45,61651.0,,IL,699
CUST000612,37,20363.0,,NJ,620
CUST000613,41,29657.0,10+ years,TX,648
CUST000614,24,25462.0,,MI,632
CUST000615,67,"$89,162",10+ years,VA,606
CUST000616,39,39891.0,10+ years,NJ,712
CUST000617,39,26188.0,3 years,fl,646
CUST000618,46,"$44,624",10+ years,MI,756
CUST000619,43,37398.0,8 years,TN,663
CUST000620,40,21933.0,4 years,IN,549
CUST000621,28,66766.0,5 years,FL,792
